"sex","id","pgm"
"M","AFC_14_17_C12",1
"M","AFC_14_17_D01",1
"F","AFC_14_17_D02",1
"F","AFC_14_17_D03",1
"F","AFC_14_17_D04",1
"F","AFC_14_17_D05",1
"M","AFC_14_17_D06",1
"M","AFC_14_17_D07",1
"F","AFC_14_17_D08",1
"M","AFC_14_17_D09",1
"F","AFC_14_17_D10",1
"F","AFC_14_17_D11",1
"F","AFC_14_17_D12",1
"F","AFC_14_17_E01",1
"F","AFC_14_17_E02",1
"F","AFC_14_17_E03",1
"M","AFC_14_17_E04",1
"F","AFC_14_17_E05",1
"M","AFC_14_17_E06",1
"M","AFC_14_17_E07",1
"M","AFC_14_17_E08",1
"F","AFC_14_17_E09",1
"M","AFC_14_17_E10",1
"F","AFC_14_17_E11",1
"M","AFC_14_17_E12",1
"M","AFC_14_17_F01",1
"F","AFC_14_17_F02",1
"F","AFC_14_17_F03",1
"M","AFC_14_17_F04",1
"F","AFC_14_17_F05",1
"M","AFC_14_17_F06",1
"M","AFC_14_17_F07",1
"M","AFC_14_17_F08",1
"M","AFC_14_17_F09",1
"M","AFC_14_17_F10",1
"F","AFC_14_17_F11",1
"F","AFC_14_17_F12",1
"M","AFC_14_17_G01",1
"M","AFC_14_17_G02",1
"M","AFC_14_17_G03",1
"F","AFC_14_17_G04",1
"F","AFC_14_17_G05",1
"M","AFC_14_17_G06",1
"F","AFC_14_17_G07",1
"M","AFC_14_17_G08",1
"F","AFC_14_17_G09",1
"M","AFC_14_17_G10",1
"M","AFC_14_17_G11",1
"M","AFC_14_17_H01",1
"M","AFC_14_17_H02",1
"M","AFC_14_17_H04",1
"M","AFC_14_17_H05",1
"M","AFC_14_17_H06",1
"M","AFC_14_17_H07",1
"F","AFC_14_17_H08",1
"F","AFC_14_17_H09",1
"F","AFC_14_17_H10",1
"F","AFC_14_18_A01",1
"M","AFC_14_18_A02",1
"F","AFC_14_18_A03",1
"F","AFC_14_18_A04",1
"F","AFC_14_18_A05",1
"M","AFC_14_18_A06",1
"F","AFC_14_18_A07",1
"F","AFC_14_18_A08",1
"M","AFC_14_18_A09",1
"M","AFC_14_18_A10",1
"M","AFC_14_18_B01",1
"M","AFC_14_18_B02",1
"F","AFC_14_18_B03",1
"F","AFC_14_18_B04",1
"F","AFC_14_18_B05",1
"M","AFC_14_18_B06",1
"F","AFC_14_18_B07",1
"M","AFC_14_18_B08",1
"F","AFC_14_18_B09",1
"M","AFC_14_18_B10",1
"M","AFC_14_18_B11",1
"F","AFC_14_18_B12",1
"M","AFC_14_18_C01",1
"F","AFC_14_18_C02",1
"M","AFC_14_18_C03",1
"M","AFC_14_18_C04",1
"F","AFC_14_18_C05",1
"M","AFC_14_18_C06",1
"F","AFC_14_18_C07",1
"M","AFC_14_18_C08",1
"M","AFC_14_18_C09",1
"F","AFC_14_18_C10",1
"M","AFC_14_18_C11",1
"F","AFC_14_18_C12",1
"M","AFC_14_18_D01",1
"M","AFC_14_18_D02",1
"M","AFC_14_18_D03",1
"F","AFC_14_18_D04",1
"F","AFC_14_18_D05",1
"F","AFC_14_18_D06",1
"F","AFC_14_18_D07",1
"F","AFC_14_18_D08",1
"M","AFC_14_18_D09",1
"F","AFC_14_18_D10",1
"M","AFC_14_18_D11",1
"M","AFC_14_18_D12",1
"M","AFC_14_18_E01",1
"M","AFC_14_18_E02",1
"F","AFC_14_18_E03",1
"F","AFC_14_18_E04",1
"M","AFC_14_18_E05",1
"M","AFC_14_18_E06",1
"F","AFC_14_18_E07",1
"M","AFC_14_18_E08",1
"M","AFC_14_18_E09",1
"M","AFC_14_18_E10",1
"F","AFC_14_18_E11",1
"F","AFC_14_18_E12",1
"M","AFC_14_18_F01",1
"M","AFC_14_18_F02",1
"M","AFC_14_18_F03",1
"F","AFC_14_18_F04",1
"F","AFC_14_18_F05",1
"M","AFC_14_18_F06",1
"F","AFC_14_18_F07",1
"M","AFC_14_18_F08",1
"F","AFC_14_18_F09",1
"M","AFC_14_18_F10",1
"F","AFC_14_18_F11",1
"M","AFC_14_18_G02",1
"M","AFC_14_18_G03",1
"F","AFC_14_18_G04",1
"F","AFC_14_18_G05",1
"F","AFC_14_18_G06",1
"F","AFC_14_18_G07",1
"F","AFC_14_18_G08",1
"F","AFC_14_18_G09",1
"F","AFC_14_18_G10",1
"F","AFC_14_18_G11",1
"M","AFC_14_19_A01",1
"M","AFC_14_19_A02",1
"F","AFC_14_19_A03",1
"M","AFC_14_19_A05",1
"F","AFC_14_19_A06",1
"F","AFC_14_19_A07",1
"M","AFC_14_19_A08",1
