Population,Line,Plate,Individual,Chr2_Crossovers,Chr3_Crossovers,Chr4_Crossovers,ChrX_Crossovers
AFC,AFC_14,AFC_14_15,AFC_14_15_B02,1,0,0,1
AFC,AFC_14,AFC_14_15,AFC_14_15_B03,0,0,1,4
AFC,AFC_14,AFC_14_15,AFC_14_15_B04,1,1,0,2
AFC,AFC_14,AFC_14_15,AFC_14_15_B05,2,0,2,2
AFC,AFC_14,AFC_14_15,AFC_14_15_B06,2,0,0,2
AFC,AFC_14,AFC_14_15,AFC_14_15_C01,4,1,1,1
AFC,AFC_14,AFC_14_15,AFC_14_15_C02,1,1,0,2
AFC,AFC_14,AFC_14_15,AFC_14_15_C03,1,1,1,5
AFC,AFC_14,AFC_14_15,AFC_14_15_C04,2,1,0,2
AFC,AFC_14,AFC_14_15,AFC_14_15_C05,0,0,0,3
AFC,AFC_14,AFC_14_15,AFC_14_15_C06,2,1,2,4
AFC,AFC_14,AFC_14_15,AFC_14_15_C07,1,1,0,2
AFC,AFC_14,AFC_14_15,AFC_14_15_C08,2,0,1,3
AFC,AFC_14,AFC_14_15,AFC_14_15_C10,0,1,0,3
AFC,AFC_14,AFC_14_15,AFC_14_15_C11,3,2,1,1
AFC,AFC_14,AFC_14_15,AFC_14_15_C12,3,0,0,0
AFC,AFC_14,AFC_14_15,AFC_14_15_D01,1,1,0,0
AFC,AFC_14,AFC_14_15,AFC_14_15_D02,1,0,1,1
AFC,AFC_14,AFC_14_15,AFC_14_15_D03,0,1,2,3
AFC,AFC_14,AFC_14_15,AFC_14_15_D04,1,0,0,3
AFC,AFC_14,AFC_14_15,AFC_14_15_D05,2,2,1,3
AFC,AFC_14,AFC_14_15,AFC_14_15_D06,2,2,0,1
AFC,AFC_14,AFC_14_15,AFC_14_15_D07,1,2,0,1
AFC,AFC_14,AFC_14_15,AFC_14_15_D08,1,0,2,2
AFC,AFC_14,AFC_14_15,AFC_14_15_D09,0,0,1,1
AFC,AFC_14,AFC_14_15,AFC_14_15_D10,2,0,1,3
AFC,AFC_14,AFC_14_15,AFC_14_15_E01,2,0,1,3
AFC,AFC_14,AFC_14_15,AFC_14_15_E02,3,1,1,2
AFC,AFC_14,AFC_14_15,AFC_14_15_E03,0,1,1,3
AFC,AFC_14,AFC_14_15,AFC_14_15_E04,1,1,2,2
AFC,AFC_14,AFC_14_15,AFC_14_15_E05,1,0,2,1
AFC,AFC_14,AFC_14_15,AFC_14_15_E06,1,0,1,1
AFC,AFC_14,AFC_14_15,AFC_14_15_E07,2,1,1,2
AFC,AFC_14,AFC_14_15,AFC_14_15_E08,1,0,0,3
AFC,AFC_14,AFC_14_15,AFC_14_15_E09,0,1,1,1
AFC,AFC_14,AFC_14_15,AFC_14_15_E10,3,1,1,3
AFC,AFC_14,AFC_14_15,AFC_14_15_E11,2,1,2,2
AFC,AFC_14,AFC_14_15,AFC_14_15_E12,2,1,1,0
AFC,AFC_14,AFC_14_15,AFC_14_15_F01,2,0,0,2
AFC,AFC_14,AFC_14_15,AFC_14_15_F02,3,0,1,0
AFC,AFC_14,AFC_14_15,AFC_14_15_F03,0,2,3,2
AFC,AFC_14,AFC_14_15,AFC_14_15_F04,2,0,1,4
AFC,AFC_14,AFC_14_15,AFC_14_15_F05,1,1,1,2
AFC,AFC_14,AFC_14_15,AFC_14_15_F06,3,0,0,2
AFC,AFC_14,AFC_14_15,AFC_14_15_F08,1,1,1,2
AFC,AFC_14,AFC_14_15,AFC_14_15_F09,4,0,2,1
AFC,AFC_14,AFC_14_15,AFC_14_15_F10,1,1,0,2
AFC,AFC_14,AFC_14_15,AFC_14_15_F11,0,1,1,3
AFC,AFC_14,AFC_14_15,AFC_14_15_F12,2,2,1,3
AFC,AFC_14,AFC_14_15,AFC_14_15_G01,1,1,0,4
AFC,AFC_14,AFC_14_15,AFC_14_15_G02,3,1,0,3
AFC,AFC_14,AFC_14_15,AFC_14_15_G03,1,1,2,2
AFC,AFC_14,AFC_14_15,AFC_14_15_G04,0,0,1,1
AFC,AFC_14,AFC_14_15,AFC_14_15_G05,1,1,2,3
AFC,AFC_14,AFC_14_15,AFC_14_15_G06,2,1,0,1
AFC,AFC_14,AFC_14_15,AFC_14_15_G07,1,1,2,2
AFC,AFC_14,AFC_14_15,AFC_14_15_G08,2,1,1,2
AFC,AFC_14,AFC_14_15,AFC_14_15_G09,0,0,1,2
AFC,AFC_14,AFC_14_15,AFC_14_15_G10,0,2,2,2
AFC,AFC_14,AFC_14_15,AFC_14_15_G11,0,1,2,0
AFC,AFC_14,AFC_14_15,AFC_14_15_G12,3,2,1,2
AFC,AFC_14,AFC_14_15,AFC_14_15_H02,0,1,1,0
AFC,AFC_14,AFC_14_15,AFC_14_15_H03,0,0,1,2
AFC,AFC_14,AFC_14_15,AFC_14_15_H04,1,2,1,2
AFC,AFC_14,AFC_14_15,AFC_14_15_H05,1,2,2,2
AFC,AFC_14,AFC_14_15,AFC_14_15_H07,0,0,0,2
AFC,AFC_14,AFC_14_15,AFC_14_15_H08,2,1,1,1
AFC,AFC_14,AFC_14_15,AFC_14_15_H10,2,0,0,2
AFC,AFC_14,AFC_14_15,AFC_14_15_H11,2,1,0,0
AFC,AFC_14,AFC_14_15,AFC_14_15_H12,0,0,1,2
AFC,AFC_14,AFC_14_16,AFC_14_16_A01,1,0,0,3
AFC,AFC_14,AFC_14_16,AFC_14_16_A02,2,0,0,1
AFC,AFC_14,AFC_14_16,AFC_14_16_A03,3,0,2,1
AFC,AFC_14,AFC_14_16,AFC_14_16_A04,1,0,0,2
AFC,AFC_14,AFC_14_16,AFC_14_16_A05,5,1,1,2
AFC,AFC_14,AFC_14_16,AFC_14_16_A06,2,1,0,1
AFC,AFC_14,AFC_14_16,AFC_14_16_A07,2,1,1,4
AFC,AFC_14,AFC_14_16,AFC_14_16_A08,4,0,0,3
AFC,AFC_14,AFC_14_16,AFC_14_16_A09,1,1,0,1
AFC,AFC_14,AFC_14_16,AFC_14_16_A10,1,1,0,1
AFC,AFC_14,AFC_14_16,AFC_14_16_B01,4,2,0,0
AFC,AFC_14,AFC_14_16,AFC_14_16_B02,3,1,3,2
AFC,AFC_14,AFC_14_16,AFC_14_16_B03,3,0,1,1
AFC,AFC_14,AFC_14_16,AFC_14_16_B04,0,2,1,2
AFC,AFC_14,AFC_14_16,AFC_14_16_B06,2,0,1,1
AFC,AFC_14,AFC_14_16,AFC_14_16_B07,1,1,1,2
AFC,AFC_14,AFC_14_16,AFC_14_16_B08,1,0,2,1
AFC,AFC_14,AFC_14_16,AFC_14_16_B09,1,0,1,2
AFC,AFC_14,AFC_14_16,AFC_14_16_B10,2,0,0,1
AFC,AFC_14,AFC_14_16,AFC_14_16_B11,3,1,1,0
AFC,AFC_14,AFC_14_16,AFC_14_16_B12,4,1,0,1
AFC,AFC_14,AFC_14_16,AFC_14_16_C01,3,1,1,2
AFC,AFC_14,AFC_14_16,AFC_14_16_C02,0,2,1,1
AFC,AFC_14,AFC_14_16,AFC_14_16_C03,3,1,1,1
AFC,AFC_14,AFC_14_16,AFC_14_16_C04,1,0,0,0
AFC,AFC_14,AFC_14_16,AFC_14_16_C07,3,0,1,0
AFC,AFC_14,AFC_14_16,AFC_14_16_C08,4,0,0,1
AFC,AFC_14,AFC_14_16,AFC_14_16_C09,2,0,2,5
AFC,AFC_14,AFC_14_16,AFC_14_16_C10,4,0,1,NA
AFC,AFC_14,AFC_14_16,AFC_14_16_C12,1,2,1,2
AFC,AFC_14,AFC_14_16,AFC_14_16_D01,3,1,0,0
AFC,AFC_14,AFC_14_16,AFC_14_16_D02,0,1,2,3
AFC,AFC_14,AFC_14_16,AFC_14_16_D03,2,1,2,0
AFC,AFC_14,AFC_14_16,AFC_14_16_D04,0,1,0,2
AFC,AFC_14,AFC_14_16,AFC_14_16_D05,3,1,1,3
AFC,AFC_14,AFC_14_16,AFC_14_16_D08,3,0,2,1
AFC,AFC_14,AFC_14_16,AFC_14_16_D09,1,0,1,2
AFC,AFC_14,AFC_14_16,AFC_14_16_D10,3,0,1,2
AFC,AFC_14,AFC_14_16,AFC_14_16_D11,3,0,2,4
AFC,AFC_14,AFC_14_16,AFC_14_16_D12,3,1,1,NA
AFC,AFC_14,AFC_14_16,AFC_14_16_E01,0,2,2,1
AFC,AFC_14,AFC_14_16,AFC_14_16_E02,2,1,1,2
AFC,AFC_14,AFC_14_16,AFC_14_16_E04,2,1,1,3
AFC,AFC_14,AFC_14_16,AFC_14_16_E05,2,0,1,0
AFC,AFC_14,AFC_14_16,AFC_14_16_E06,2,0,3,3
AFC,AFC_14,AFC_14_16,AFC_14_16_E08,1,0,2,3
AFC,AFC_14,AFC_14_16,AFC_14_16_E09,3,1,1,4
AFC,AFC_14,AFC_14_16,AFC_14_16_E10,2,0,1,1
AFC,AFC_14,AFC_14_16,AFC_14_16_E11,2,1,1,2
AFC,AFC_14,AFC_14_16,AFC_14_16_E12,1,1,0,2
AFC,AFC_14,AFC_14_16,AFC_14_16_F01,3,1,0,1
AFC,AFC_14,AFC_14_16,AFC_14_16_F03,2,1,0,3
AFC,AFC_14,AFC_14_16,AFC_14_16_F04,4,2,0,3
AFC,AFC_14,AFC_14_16,AFC_14_16_F06,0,0,1,2
AFC,AFC_14,AFC_14_16,AFC_14_16_F07,2,1,3,3
AFC,AFC_14,AFC_14_16,AFC_14_16_F08,4,2,2,2
AFC,AFC_14,AFC_14_16,AFC_14_16_F09,4,0,1,2
AFC,AFC_14,AFC_14_16,AFC_14_16_F10,1,0,0,3
AFC,AFC_14,AFC_14_16,AFC_14_16_F11,2,1,2,3
AFC,AFC_14,AFC_14_16,AFC_14_16_F12,2,2,1,2
AFC,AFC_14,AFC_14_16,AFC_14_16_G01,2,1,0,1
AFC,AFC_14,AFC_14_16,AFC_14_16_G02,0,0,1,0
AFC,AFC_14,AFC_14_16,AFC_14_16_G03,3,0,0,1
AFC,AFC_14,AFC_14_16,AFC_14_16_G04,3,1,1,1
AFC,AFC_14,AFC_14_16,AFC_14_16_G05,3,1,0,2
AFC,AFC_14,AFC_14_16,AFC_14_16_G06,2,1,1,2
AFC,AFC_14,AFC_14_16,AFC_14_16_G07,0,0,2,3
AFC,AFC_14,AFC_14_16,AFC_14_16_G08,0,1,2,1
AFC,AFC_14,AFC_14_16,AFC_14_16_G09,2,1,1,2
AFC,AFC_14,AFC_14_16,AFC_14_16_G10,1,0,1,0
AFC,AFC_14,AFC_14_16,AFC_14_16_G11,3,0,1,2
AFC,AFC_14,AFC_14_16,AFC_14_16_G12,2,1,0,1
AFC,AFC_14,AFC_14_16,AFC_14_16_H01,2,1,0,NA
AFC,AFC_14,AFC_14_16,AFC_14_16_H02,3,1,0,0
AFC,AFC_14,AFC_14_16,AFC_14_16_H03,1,1,2,0
AFC,AFC_14,AFC_14_16,AFC_14_16_H10,4,0,2,1
AFC,AFC_14,AFC_14_16,AFC_14_16_H11,1,0,1,0
AFC,AFC_14,AFC_14_16,AFC_14_16_H12,NA,0,2,1
AFC,AFC_14,AFC_14_17,AFC_14_17_A01,1,1,0,2
AFC,AFC_14,AFC_14_17,AFC_14_17_A03,2,1,2,NA
AFC,AFC_14,AFC_14_17,AFC_14_17_A04,1,2,0,3
AFC,AFC_14,AFC_14_17,AFC_14_17_A05,4,0,0,1
AFC,AFC_14,AFC_14_17,AFC_14_17_A06,0,0,0,3
AFC,AFC_14,AFC_14_17,AFC_14_17_A07,1,0,1,4
AFC,AFC_14,AFC_14_17,AFC_14_17_A08,4,1,1,2
AFC,AFC_14,AFC_14_17,AFC_14_17_A09,1,0,1,2
AFC,AFC_14,AFC_14_17,AFC_14_17_A10,0,1,2,1
AFC,AFC_14,AFC_14_17,AFC_14_17_A11,3,1,1,1
AFC,AFC_14,AFC_14_17,AFC_14_17_A12,1,0,1,4
AFC,AFC_14,AFC_14_17,AFC_14_17_B01,1,2,0,4
AFC,AFC_14,AFC_14_17,AFC_14_17_B02,4,0,0,2
AFC,AFC_14,AFC_14_17,AFC_14_17_B03,1,0,0,1
AFC,AFC_14,AFC_14_17,AFC_14_17_B04,3,1,3,0
AFC,AFC_14,AFC_14_17,AFC_14_17_B05,3,1,0,2
AFC,AFC_14,AFC_14_17,AFC_14_17_B06,0,0,1,2
AFC,AFC_14,AFC_14_17,AFC_14_17_B07,1,1,0,2
AFC,AFC_14,AFC_14_17,AFC_14_17_B08,3,0,1,1
AFC,AFC_14,AFC_14_17,AFC_14_17_B09,3,1,1,3
AFC,AFC_14,AFC_14_17,AFC_14_17_B10,3,2,1,2
AFC,AFC_14,AFC_14_17,AFC_14_17_B11,0,0,0,4
AFC,AFC_14,AFC_14_17,AFC_14_17_B12,3,0,1,3
AFC,AFC_14,AFC_14_17,AFC_14_17_C01,3,0,1,2
AFC,AFC_14,AFC_14_17,AFC_14_17_C03,0,1,0,1
AFC,AFC_14,AFC_14_17,AFC_14_17_C04,2,1,1,1
AFC,AFC_14,AFC_14_17,AFC_14_17_C05,1,1,1,3
AFC,AFC_14,AFC_14_17,AFC_14_17_C07,0,1,1,2
AFC,AFC_14,AFC_14_17,AFC_14_17_C08,0,0,1,3
AFC,AFC_14,AFC_14_17,AFC_14_17_C09,0,0,1,1
AFC,AFC_14,AFC_14_17,AFC_14_17_C10,3,0,0,0
AFC,AFC_14,AFC_14_17,AFC_14_17_C11,1,1,1,4
AFC,AFC_14,AFC_14_17,AFC_14_17_C12,1,2,1,1
AFC,AFC_14,AFC_14_17,AFC_14_17_D01,3,0,1,1
AFC,AFC_14,AFC_14_17,AFC_14_17_D02,0,1,1,3
AFC,AFC_14,AFC_14_17,AFC_14_17_D03,0,1,2,0
AFC,AFC_14,AFC_14_17,AFC_14_17_D04,0,1,1,2
AFC,AFC_14,AFC_14_17,AFC_14_17_D05,2,2,1,2
AFC,AFC_14,AFC_14_17,AFC_14_17_D06,0,0,0,1
AFC,AFC_14,AFC_14_17,AFC_14_17_D08,4,1,1,0
AFC,AFC_14,AFC_14_17,AFC_14_17_D09,0,1,2,1
AFC,AFC_14,AFC_14_17,AFC_14_17_D10,3,0,0,4
AFC,AFC_14,AFC_14_17,AFC_14_17_D11,3,1,0,2
AFC,AFC_14,AFC_14_17,AFC_14_17_D12,2,1,1,2
AFC,AFC_14,AFC_14_17,AFC_14_17_E01,2,1,1,0
AFC,AFC_14,AFC_14_17,AFC_14_17_E02,1,2,1,2
AFC,AFC_14,AFC_14_17,AFC_14_17_E03,3,0,1,2
AFC,AFC_14,AFC_14_17,AFC_14_17_E04,3,1,1,2
AFC,AFC_14,AFC_14_17,AFC_14_17_E05,0,1,0,0
AFC,AFC_14,AFC_14_17,AFC_14_17_E06,1,1,2,3
AFC,AFC_14,AFC_14_17,AFC_14_17_E07,3,1,2,1
AFC,AFC_14,AFC_14_17,AFC_14_17_E08,3,0,0,0
AFC,AFC_14,AFC_14_17,AFC_14_17_E09,0,1,1,1
AFC,AFC_14,AFC_14_17,AFC_14_17_E11,4,1,1,1
AFC,AFC_14,AFC_14_17,AFC_14_17_E12,1,0,0,3
AFC,AFC_14,AFC_14_17,AFC_14_17_F01,0,1,0,3
AFC,AFC_14,AFC_14_17,AFC_14_17_F02,0,0,1,0
AFC,AFC_14,AFC_14_17,AFC_14_17_F03,2,1,2,0
AFC,AFC_14,AFC_14_17,AFC_14_17_F04,1,3,0,2
AFC,AFC_14,AFC_14_17,AFC_14_17_F05,2,0,1,3
AFC,AFC_14,AFC_14_17,AFC_14_17_F06,2,1,0,1
AFC,AFC_14,AFC_14_17,AFC_14_17_F07,3,0,1,2
AFC,AFC_14,AFC_14_17,AFC_14_17_F08,1,1,0,5
AFC,AFC_14,AFC_14_17,AFC_14_17_F10,1,0,2,0
AFC,AFC_14,AFC_14_17,AFC_14_17_F11,2,2,0,3
AFC,AFC_14,AFC_14_17,AFC_14_17_F12,1,1,1,1
AFC,AFC_14,AFC_14_17,AFC_14_17_G01,3,1,1,1
AFC,AFC_14,AFC_14_17,AFC_14_17_G02,1,0,1,5
AFC,AFC_14,AFC_14_17,AFC_14_17_G03,2,0,1,3
AFC,AFC_14,AFC_14_17,AFC_14_17_G04,2,0,1,2
AFC,AFC_14,AFC_14_17,AFC_14_17_G05,3,2,1,2
AFC,AFC_14,AFC_14_17,AFC_14_17_G06,0,1,1,3
AFC,AFC_14,AFC_14_17,AFC_14_17_G08,1,0,2,3
AFC,AFC_14,AFC_14_17,AFC_14_17_G09,1,0,1,3
AFC,AFC_14,AFC_14_17,AFC_14_17_G10,2,0,1,3
AFC,AFC_14,AFC_14_17,AFC_14_17_G11,0,0,1,0
AFC,AFC_14,AFC_14_17,AFC_14_17_H01,2,0,0,2
AFC,AFC_14,AFC_14_17,AFC_14_17_H02,2,1,0,4
AFC,AFC_14,AFC_14_17,AFC_14_17_H04,2,1,0,1
AFC,AFC_14,AFC_14_17,AFC_14_17_H05,2,0,0,1
AFC,AFC_14,AFC_14_17,AFC_14_17_H06,3,0,0,1
AFC,AFC_14,AFC_14_17,AFC_14_17_H07,0,1,0,1
AFC,AFC_14,AFC_14_17,AFC_14_17_H08,1,1,1,NA
AFC,AFC_14,AFC_14_17,AFC_14_17_H09,2,0,0,1
AFC,AFC_14,AFC_14_17,AFC_14_17_H10,1,0,1,2
AFC,AFC_14,AFC_14_18,AFC_14_18_A02,3,1,0,3
AFC,AFC_14,AFC_14_18,AFC_14_18_A03,1,1,1,2
AFC,AFC_14,AFC_14_18,AFC_14_18_A04,0,2,4,2
AFC,AFC_14,AFC_14_18,AFC_14_18_A06,2,1,0,5
AFC,AFC_14,AFC_14_18,AFC_14_18_A07,2,1,1,3
AFC,AFC_14,AFC_14_18,AFC_14_18_A08,0,1,1,4
AFC,AFC_14,AFC_14_18,AFC_14_18_A09,0,1,2,2
AFC,AFC_14,AFC_14_18,AFC_14_18_A10,3,2,1,0
AFC,AFC_14,AFC_14_18,AFC_14_18_B01,2,0,0,2
AFC,AFC_14,AFC_14_18,AFC_14_18_B02,1,0,1,1
AFC,AFC_14,AFC_14_18,AFC_14_18_B03,2,0,1,1
AFC,AFC_14,AFC_14_18,AFC_14_18_B04,2,0,1,1
AFC,AFC_14,AFC_14_18,AFC_14_18_B05,0,0,1,1
AFC,AFC_14,AFC_14_18,AFC_14_18_B06,1,1,0,3
AFC,AFC_14,AFC_14_18,AFC_14_18_B07,0,2,0,3
AFC,AFC_14,AFC_14_18,AFC_14_18_B08,0,1,0,3
AFC,AFC_14,AFC_14_18,AFC_14_18_B09,4,1,0,0
AFC,AFC_14,AFC_14_18,AFC_14_18_B10,0,0,0,5
AFC,AFC_14,AFC_14_18,AFC_14_18_B11,3,1,1,2
AFC,AFC_14,AFC_14_18,AFC_14_18_B12,3,0,0,0
AFC,AFC_14,AFC_14_18,AFC_14_18_C01,3,1,1,2
AFC,AFC_14,AFC_14_18,AFC_14_18_C02,2,1,0,1
AFC,AFC_14,AFC_14_18,AFC_14_18_C03,2,0,1,4
AFC,AFC_14,AFC_14_18,AFC_14_18_C04,0,0,1,3
AFC,AFC_14,AFC_14_18,AFC_14_18_C05,3,0,1,1
AFC,AFC_14,AFC_14_18,AFC_14_18_C06,3,2,2,1
AFC,AFC_14,AFC_14_18,AFC_14_18_C07,0,1,1,1
AFC,AFC_14,AFC_14_18,AFC_14_18_C08,2,1,0,3
AFC,AFC_14,AFC_14_18,AFC_14_18_C09,2,0,2,3
AFC,AFC_14,AFC_14_18,AFC_14_18_C10,3,1,1,0
AFC,AFC_14,AFC_14_18,AFC_14_18_C12,3,2,0,3
AFC,AFC_14,AFC_14_18,AFC_14_18_D01,2,0,1,5
AFC,AFC_14,AFC_14_18,AFC_14_18_D02,2,0,0,1
AFC,AFC_14,AFC_14_18,AFC_14_18_D03,2,1,0,4
AFC,AFC_14,AFC_14_18,AFC_14_18_D04,2,1,0,2
AFC,AFC_14,AFC_14_18,AFC_14_18_D05,0,1,1,2
AFC,AFC_14,AFC_14_18,AFC_14_18_D06,1,1,2,5
AFC,AFC_14,AFC_14_18,AFC_14_18_D07,1,0,1,4
AFC,AFC_14,AFC_14_18,AFC_14_18_D08,0,0,2,2
AFC,AFC_14,AFC_14_18,AFC_14_18_D10,1,1,1,4
AFC,AFC_14,AFC_14_18,AFC_14_18_D11,0,1,0,4
AFC,AFC_14,AFC_14_18,AFC_14_18_D12,2,1,0,2
AFC,AFC_14,AFC_14_18,AFC_14_18_E01,5,0,1,3
AFC,AFC_14,AFC_14_18,AFC_14_18_E02,3,0,0,2
AFC,AFC_14,AFC_14_18,AFC_14_18_E03,2,0,1,2
AFC,AFC_14,AFC_14_18,AFC_14_18_E04,3,1,0,1
AFC,AFC_14,AFC_14_18,AFC_14_18_E05,2,0,1,2
AFC,AFC_14,AFC_14_18,AFC_14_18_E06,0,1,2,4
AFC,AFC_14,AFC_14_18,AFC_14_18_E07,4,0,2,0
AFC,AFC_14,AFC_14_18,AFC_14_18_E08,2,0,1,2
AFC,AFC_14,AFC_14_18,AFC_14_18_E09,0,1,1,3
AFC,AFC_14,AFC_14_18,AFC_14_18_E10,1,0,1,1
AFC,AFC_14,AFC_14_18,AFC_14_18_E11,3,0,1,1
AFC,AFC_14,AFC_14_18,AFC_14_18_E12,1,1,0,3
AFC,AFC_14,AFC_14_18,AFC_14_18_F01,2,1,1,3
AFC,AFC_14,AFC_14_18,AFC_14_18_F02,1,0,1,1
AFC,AFC_14,AFC_14_18,AFC_14_18_F03,1,0,2,1
AFC,AFC_14,AFC_14_18,AFC_14_18_F04,1,1,2,0
AFC,AFC_14,AFC_14_18,AFC_14_18_F05,1,0,2,3
AFC,AFC_14,AFC_14_18,AFC_14_18_F06,2,2,1,3
AFC,AFC_14,AFC_14_18,AFC_14_18_F07,1,1,1,3
AFC,AFC_14,AFC_14_18,AFC_14_18_F08,0,2,0,4
AFC,AFC_14,AFC_14_18,AFC_14_18_F09,2,1,1,2
AFC,AFC_14,AFC_14_18,AFC_14_18_F10,3,2,0,0
AFC,AFC_14,AFC_14_18,AFC_14_18_F11,1,1,2,0
AFC,AFC_14,AFC_14_18,AFC_14_18_G03,1,1,4,2
AFC,AFC_14,AFC_14_18,AFC_14_18_G04,1,2,1,0
AFC,AFC_14,AFC_14_18,AFC_14_18_G05,1,0,1,5
AFC,AFC_14,AFC_14_18,AFC_14_18_G06,1,2,1,1
AFC,AFC_14,AFC_14_18,AFC_14_18_G07,1,0,1,4
AFC,AFC_14,AFC_14_18,AFC_14_18_G08,4,0,0,2
AFC,AFC_14,AFC_14_18,AFC_14_18_G09,3,0,0,0
AFC,AFC_14,AFC_14_18,AFC_14_18_G10,2,0,0,2
AFC,AFC_14,AFC_14_18,AFC_14_18_G11,2,0,1,2
AFC,AFC_14,AFC_14_19,AFC_14_19_A01,2,1,0,1
AFC,AFC_14,AFC_14_19,AFC_14_19_A02,3,0,0,2
AFC,AFC_14,AFC_14_19,AFC_14_19_A03,3,0,1,0
AFC,AFC_14,AFC_14_19,AFC_14_19_A05,1,1,0,2
AFC,AFC_14,AFC_14_19,AFC_14_19_A06,2,0,2,2
AFC,AFC_14,AFC_14_19,AFC_14_19_A07,1,1,1,4
AFC,AFC_14,AFC_14_19,AFC_14_19_A08,4,2,0,0
AFC,AFC_14,AFC_14_19,AFC_14_19_A09,3,1,2,1
AFC,AFC_14,AFC_14_19,AFC_14_19_A10,1,0,1,2
AFC,AFC_14,AFC_14_19,AFC_14_19_A11,1,1,1,0
AFC,AFC_14,AFC_14_19,AFC_14_19_A12,0,0,0,2
AFC,AFC_14,AFC_14_19,AFC_14_19_B01,4,1,0,0
AFC,AFC_14,AFC_14_19,AFC_14_19_B02,3,1,2,2
AFC,AFC_14,AFC_14_19,AFC_14_19_B03,0,1,1,2
AFC,AFC_14,AFC_14_19,AFC_14_19_B04,3,0,1,2
AFC,AFC_14,AFC_14_19,AFC_14_19_B05,2,0,1,3
AFC,AFC_14,AFC_14_19,AFC_14_19_B06,3,1,0,2
AFC,AFC_14,AFC_14_19,AFC_14_19_B07,3,0,0,3
AFC,AFC_14,AFC_14_19,AFC_14_19_B08,2,1,1,2
AFC,AFC_14,AFC_14_19,AFC_14_19_B09,2,0,1,1
AFC,AFC_14,AFC_14_19,AFC_14_19_B10,1,1,2,4
AFC,AFC_14,AFC_14_19,AFC_14_19_B11,2,0,0,2
AFC,AFC_14,AFC_14_19,AFC_14_19_B12,1,1,2,1
AFC,AFC_14,AFC_14_19,AFC_14_19_C01,0,0,0,2
AFC,AFC_14,AFC_14_19,AFC_14_19_C02,1,0,1,0
AFC,AFC_14,AFC_14_19,AFC_14_19_C03,1,1,0,3
AFC,AFC_14,AFC_14_19,AFC_14_19_C04,3,1,0,2
AFC,AFC_14,AFC_14_19,AFC_14_19_C05,2,1,0,3
AFC,AFC_14,AFC_14_19,AFC_14_19_C06,1,1,1,3
AFC,AFC_14,AFC_14_19,AFC_14_19_C07,1,0,1,2
AFC,AFC_14,AFC_14_19,AFC_14_19_C08,4,0,0,2
AFC,AFC_14,AFC_14_19,AFC_14_19_C10,0,0,1,1
AFC,AFC_14,AFC_14_19,AFC_14_19_C11,1,2,1,1
AFC,AFC_14,AFC_14_19,AFC_14_19_C12,5,1,1,1
AFC,AFC_14,AFC_14_19,AFC_14_19_D01,0,1,0,3
AFC,AFC_14,AFC_14_19,AFC_14_19_D03,2,1,0,3
AFC,AFC_14,AFC_14_19,AFC_14_19_D04,3,1,1,2
AFC,AFC_14,AFC_14_19,AFC_14_19_D05,2,0,1,2
AFC,AFC_14,AFC_14_19,AFC_14_19_D06,0,0,0,0
AFC,AFC_14,AFC_14_19,AFC_14_19_D07,3,0,0,2
AFC,AFC_14,AFC_14_19,AFC_14_19_D08,3,1,1,0
AFC,AFC_14,AFC_14_19,AFC_14_19_D09,1,0,1,0
AFC,AFC_14,AFC_14_19,AFC_14_19_D10,3,0,1,1
AFC,AFC_14,AFC_14_19,AFC_14_19_D11,2,1,0,1
AFC,AFC_14,AFC_14_19,AFC_14_19_D12,4,1,1,1
AFC,AFC_14,AFC_14_19,AFC_14_19_E01,0,1,2,2
AFC,AFC_14,AFC_14_19,AFC_14_19_E02,0,1,1,3
AFC,AFC_14,AFC_14_19,AFC_14_19_E03,2,0,2,1
AFC,AFC_14,AFC_14_19,AFC_14_19_E04,1,0,1,1
AFC,AFC_14,AFC_14_19,AFC_14_19_E05,1,0,1,2
AFC,AFC_14,AFC_14_19,AFC_14_19_E06,1,0,2,2
AFC,AFC_14,AFC_14_19,AFC_14_19_E07,3,0,2,3
AFC,AFC_14,AFC_14_19,AFC_14_19_E08,2,1,1,2
AFC,AFC_14,AFC_14_19,AFC_14_19_E09,3,1,0,1
AFC,AFC_14,AFC_14_19,AFC_14_19_E10,2,0,2,0
AFC,AFC_14,AFC_14_19,AFC_14_19_E11,3,1,0,2
AFC,AFC_14,AFC_14_19,AFC_14_19_E12,1,1,0,3
AFC,AFC_14,AFC_14_19,AFC_14_19_F01,2,1,1,1
AFC,AFC_14,AFC_14_19,AFC_14_19_F02,0,0,0,2
AFC,AFC_14,AFC_14_19,AFC_14_19_F03,3,0,2,3
AFC,AFC_14,AFC_14_19,AFC_14_19_F04,2,1,1,2
AFC,AFC_14,AFC_14_19,AFC_14_19_F05,0,1,0,0
AFC,AFC_14,AFC_14_19,AFC_14_19_F06,3,1,2,2
AFC,AFC_14,AFC_14_19,AFC_14_19_F07,1,1,2,2
AFC,AFC_14,AFC_14_19,AFC_14_19_F08,1,0,0,2
AFC,AFC_14,AFC_14_19,AFC_14_19_F09,0,0,3,3
AFC,AFC_14,AFC_14_19,AFC_14_19_F10,0,0,2,3
AFC,AFC_14,AFC_14_19,AFC_14_19_F11,1,1,1,3
AFC,AFC_14,AFC_14_19,AFC_14_19_F12,0,2,1,1
