id xo_count_rqtl
AFC_48_17_G08 4
AFC_48_17_G09 4
AFC_48_17_G10 5
AFC_48_17_G11 6
AFC_48_17_G12 2
AFC_48_17_H02 4
AFC_48_17_H03 4
AFC_48_17_H04 4
AFC_48_17_H05 3
AFC_48_17_H06 4
AFC_48_17_H08 7
AFC_48_17_H09 4
AFC_48_17_H10 6
AFC_48_17_H11 3
AFC_48_17_H12 7
AFC_48_18_C04 4
AFC_48_18_C05 8
AFC_48_18_C06 3
AFC_48_18_D03 5
AFC_48_18_D04 6
AFC_48_18_D06 3
AFC_48_18_D07 4
AFC_48_18_D08 5
AFC_48_18_D09 9
AFC_48_18_E02 3
AFC_48_18_E03 3
AFC_48_18_E04 2
AFC_48_18_E05 7
AFC_48_18_E06 4
AFC_48_18_E07 6
AFC_48_18_E08 8
AFC_48_18_E09 6
AFC_48_18_F01 6
AFC_48_18_F02 4
AFC_48_18_F03 5
AFC_48_18_F04 6
AFC_48_18_F06 3
AFC_48_18_F07 2
AFC_48_18_F09 4
AFC_48_18_G01 6
AFC_48_18_G02 4
AFC_48_18_G03 1
AFC_48_18_G05 4
AFC_48_18_G06 7
AFC_48_18_G07 4
AFC_48_18_G08 4
AFC_48_18_G09 5
AFC_48_18_H01 8
AFC_48_18_H02 4
AFC_48_18_H03 4
AFC_48_18_H04 4
AFC_48_18_H05 3
AFC_48_18_H06 6
AFC_48_18_H07 4
AFC_48_18_H08 2
AFC_48_18_H09 6
AFC_48_18_H10 2
AFC_48_19_B02 5
AFC_48_19_B03 5
AFC_48_19_B04 5
AFC_48_19_B06 2
AFC_48_19_B07 2
AFC_48_19_B08 6
AFC_48_19_B09 6
AFC_48_19_B10 5
AFC_48_19_B11 6
AFC_48_19_C01 5
AFC_48_19_C02 4
AFC_48_19_C03 6
AFC_48_19_C04 2
AFC_48_19_C05 3
AFC_48_19_C06 7
AFC_48_19_C07 3
AFC_48_19_C08 5
AFC_48_19_C09 5
AFC_48_19_C10 5
AFC_48_19_C11 4
AFC_48_19_C12 6
AFC_48_19_D01 6
AFC_48_19_D02 4
AFC_48_19_D03 4
AFC_48_19_D04 4
AFC_48_19_D05 4
AFC_48_19_D06 2
AFC_48_19_D07 2
AFC_48_19_D08 4
AFC_48_19_D09 4
AFC_48_19_D10 6
AFC_48_19_D11 6
AFC_48_19_D12 5
AFC_48_19_E01 4
AFC_48_19_E02 6
AFC_48_19_E03 5
AFC_48_19_E04 3
AFC_48_19_E05 6
AFC_48_19_E07 2
AFC_48_19_E08 5
AFC_48_19_E09 5
AFC_48_19_E10 4
AFC_48_19_E11 5
AFC_48_19_E12 3
AFC_48_19_F01 3
AFC_48_19_F02 3
AFC_48_19_F03 3
AFC_48_19_F04 2
AFC_48_19_F05 6
AFC_48_19_F06 8
AFC_48_19_F07 7
AFC_48_19_F08 6
AFC_48_19_F09 7
AFC_48_19_F10 4
AFC_48_19_F11 4
AFC_48_19_G02 3
AFC_48_19_G03 8
AFC_48_19_G04 3
AFC_48_19_G05 5
AFC_48_19_G06 4
AFC_48_19_G07 3
AFC_48_19_G08 4
AFC_48_19_G09 5
AFC_48_19_G10 4
AFC_48_19_G11 3
AFC_48_20_B01 6
AFC_48_20_B02 6
AFC_48_20_B03 4
AFC_48_20_B04 5
AFC_48_20_B05 6
AFC_48_20_B06 8
AFC_48_20_B07 5
AFC_48_20_B08 5
AFC_48_20_B09 3
AFC_48_20_B10 7
AFC_48_20_B11 7
AFC_48_20_C01 3
AFC_48_20_C02 7
AFC_48_20_C03 5
AFC_48_20_C04 3
AFC_48_20_C05 8
