type unique_id p_homozygous
L FL-L6 0.994068167452716
L FL-L7 0.990375826657347
L MC_F1_L9-1 0.979613323124043
L MC_F1_L9-3 0.981492315056108
L MC-17-L2 0.989522105801176
L MC-17-L4 0.989072666766006
L MC-L13-1 0.968809252938946
L MC-L13-4 0.959278059785674
L MC-L14-1 0.977599762646492
L MC-L14-3 0.984917341763815
L MC-L15-1 0.980252718189833
L MC-L15-3 0.988432122370937
L MC-L20-2 0.928096466851925
L MC-L20-3 0.95202564849898
L MC-L27-3 0.972403100775194
L MC-L6-2 0.976938412629991
L MC-L6-3 0.962607652894364
L MC-L6-4 0.971327074346613
L MV_F1_L-11 0.995713612812058
L MV_F1_L-2 0.994498890532544
L MV-L10 0.986742188472551
L MV-L4 0.99070871831931
L MV-L5 0.993855181576616
L MV-L7 0.991455599633811
L VY-L1 0.969470956323873
L VY-L10 0.970099363523971
L VY-L11 0.963916072651122
L VY-L3 0.967021227181941
L VY-L6 0.965508325576585
L VY-L7 0.9427681352915
M MC_M19_F1 0.834814609082072
M MC_M21_F1 0.850195883340588
M MC_M27_F1 0.703301384451544
M MC_M28_F1 0.942249240121581
M MC-M01-F1 0.80681522587358
M MC-M05-F1 0.868474898881751
M MC-M06-F1 0.83003563967064
M MC-M07-F1 0.745404736656062
NA NA 0.821684926331696
