Indiv mean_DP
L1_A01 130.688734227352
L1_A02 106.466919249039
L1_A03 85.1142905615563
L1_A04 87.5854362340161
L1_A05 183.292993270373
L1_A06 110.615758809887
L1_A07 35.4510325318246
L1_A08 29.5723096073328
L1_A09 117.747596425744
L1_A10 87.3581490071845
L1_A11 68.3055037049607
L1_A12 115.879038189533
L1_B01 39.9844970012448
L1_B02 131.967762004412
L1_B03 127.150656257072
L1_B04 110.831890454365
L1_B05 209.462530399864
L1_B06 9.64826025459689
L1_B07 163.000282757451
L1_B08 68.2792894721955
L1_B09 60.1173509783961
L1_B10 51.6360859728507
L1_B11 134.761823942068
L1_B12 0.70750876399412
L1_C01 47.4643139916299
L1_C02 16.3568882602546
L1_C03 12.9579846188645
L1_C04 120.189921384537
L1_C05 89.5594706181777
L1_C06 95.7703490016404
L1_C07 79.5309263765491
L1_C08 100.690084280785
L1_C09 46.6721728800136
L1_C10 78.3773616924992
L1_C11 103.081155977831
L1_C12 73.978451445054
L1_D01 79.8930753564155
L1_D02 97.5149388863739
L1_D03 63.5942750466708
L1_D04 110.715643564356
L1_D05 111.921341325492
L1_D06 54.77254724454
L1_D07 2.50158335218276
L1_D08 111.090898806494
L1_D09 186.179878911334
L1_D10 25.3159144893112
L1_D11 105.464875565611
L1_D12 102.067670023764
L1_E01 86.0855106888361
L1_E02 168.323040380048
L1_E03 163.533635077793
L1_E04 123.097776268885
L1_E05 145.130410183876
L1_E06 95.9019918515165
L1_E07 78.785407239819
L1_E08 133.841402714932
L1_E09 68.7951255372088
L1_E10 106.171362299163
L1_E11 114.481584158416
L1_E12 108.516428207883
L1_F01 132.932865788134
L1_F02 45.6051917203936
L1_F03 70.6499236382148
L1_F04 0.278921180594821
L1_F05 85.306517311609
L1_F06 132.189684424839
L1_F07 53.9257792611869
L1_F08 78.2139947957914
L1_F09 158.374646453219
L1_F10 66.7476101589456
L1_F11 0.635135135135135
L1_F12 62.0262473130445
L1_G01 141.35309424143
L1_G02 46.169664065151
L1_G03 76.3095076400679
L1_G04 39.8250763488293
L1_G05 149.846532413169
L1_G06 123.566693064826
L1_G07 13.8953231917661
L1_G08 97.6238832975235
L1_G09 24.2817379497624
L1_G10 32.6530346739069
L1_G11 96.1192172831128
L1_G12 0.327829921972181
L1_H01 130.887820331504
L1_H02 181.09661179931
L1_H03 100.625933469111
L1_H04 0.957814973987786
L1_H05 100.82350944677
L1_H06 37.3953501527322
L1_H07 32.2695961995249
L1_H08 16.9842751286837
L1_H09 65.8396199739863
L1_H10 87.5925758261657
L1_H11 138.980712669683
L1_H12 82.7457713412909
L2_A01 85.6276084374823
L2_A02 1.8052036199095
L2_A03 36.08047732157
L2_A04 2.15622526291982
L2_A05 93.3299954740892
L2_A06 133.578467979181
L2_A07 94.7102285584974
L2_A08 0.737401730671342
L2_A09 61.1040782849709
L2_A10 37.4686616133047
L2_A11 1.33893224748332
L2_A12 0.954987559375707
L2_B01 92.4923068220387
L2_B02 47.5196289172983
L2_B03 48.8642533936652
L2_B04 92.5365867450803
L2_B05 44.5172764802353
L2_B06 156.905141693535
L2_B07 100.811425339367
L2_B08 86.4824348022855
L2_B09 84.3987556561086
L2_B10 52.7222693591266
L2_B11 1.12819497851165
L2_B12 0.0144755442465366
L2_C01 39.6760196865984
L2_C02 92.2561361836896
L2_C03 34.1513917175832
L2_C04 108.134966894913
L2_C05 145.969789545146
L2_C06 22.1460089381682
L2_C07 80.2704598156213
L2_C08 70.7808257918552
L2_C09 68.6492250254554
L2_C10 33.158567630254
L2_C11 0.877190998529911
L2_C12 0.593237589053489
L2_D01 100.871520706042
L2_D02 89.9528307222442
L2_D03 52.6871818078968
L2_D04 45.9204751131222
L2_D05 110.76581061206
L2_D06 113.745105805137
L2_D07 73.0270392578346
L2_D08 84.4590849968897
L2_D09 2.84609728506787
L2_D10 62.804956713631
L2_D11 0.855527283008199
L2_D12 0.856876272336575
L2_E01 86.49977373006
L2_E02 160.543572923147
L2_E03 83.7371606334842
L2_E04 106.701702777621
L2_E05 100.330807081047
L2_E06 1.32223227411512
L2_E07 100.275015555178
L2_E08 124.327658371041
L2_E09 129.994626392896
L2_E10 85.5121633853813
L2_E11 0.885646420088225
L2_E12 0.842364253393665
L2_F01 73.2023082145282
L2_F02 48.9211315417256
L2_F03 48.6252122721612
L2_F04 1.56780140239765
L2_F05 79.0185509869351
L2_F06 218.706827309237
L2_F07 115.290610859729
L2_F08 119.05803823962
L2_F09 88.5326886098858
L2_F10 0.5598778695013
L2_F11 0.010403709148479
L2_F12 0.53867465792152
L2_G01 67.4334426600317
L2_G02 42.4913768730563
L2_G03 81.7954532601934
L2_G04 106.829400780852
L2_G05 80.9354382391218
L2_G06 103.079612968936
L2_G07 62.7805747256477
L2_G08 74.9108082122052
L2_G09 66.2943272439342
L2_G10 0.260431980097252
L2_G11 0.775050893463017
L2_G12 0.0125523012552301
L2_H01 73.0123289220676
L2_H02 78.6864430744867
L2_H03 44.0262994174538
L2_H04 88.7239097234006
L2_H05 89.3719943422914
L2_H06 0.641936213526352
L2_H07 88.4634615384615
L2_H08 75.0728064716864
L2_H09 52.1212601097223
L2_H10 0.728748373960749
L2_H11 1.02408684835463
L2_H12 0.6754877014419
